2027 GKS-U Available Departments,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,Source_File,Sheet_Name,2027 GKS-Korea University Available Departments for Undergraduate Degrees,__EMPTY_17
37,동국대학교,Dongguk University,Embassy Track,A,Seoul,시스템반도체학부,Division of System Semiconductor,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://semicon.dongguk.edu/,+82-2-2260-8740,,available departments (13).xlsx,Dongguk University,,
38,동국대학교,Dongguk University,Embassy Track,A,Seoul,영화영상학과,Dept. of Film and Digital Media,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 5 or above,March or September,https://movie.dongguk.edu/,+82-2-2260-8754,,available departments (13).xlsx,Dongguk University,,
39,동국대학교,Dongguk University,Embassy Track,A,Gyeonggi / Goyang,생명과학과,Dept. of Life Science,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://lifescience.dongguk.edu/main,+82-31-961-5348,,available departments (13).xlsx,Dongguk University,,
40,동국대학교,Dongguk University,Embassy Track,A,Gyeonggi / Goyang,융합환경과학과,Dept. of Convergent Environmental Science,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://env.dongguk.edu/main,+82-31-961-5347,,available departments (13).xlsx,Dongguk University,,
41,동국대학교,Dongguk University,Embassy Track,A,Gyeonggi / Goyang,의생명공학과,Dept. of Biomedical Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://mbt.dongguk.edu/main,+82-31-961-5350,,available departments (13).xlsx,Dongguk University,,
42,동국대학교,Dongguk University,Embassy Track,A,Gyeonggi / Goyang,식품바이오융합공학과,Dept. of Food-Bioscience Integrative Technology ,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://food.dongguk.edu/main,+82-31-961-5349,,available departments (13).xlsx,Dongguk University,,
No.,대학명,"University
(대학알리미 공시 명칭)",Campus Location,"Application
Track",Embassy Track Type,"모집단위
(학과, 학부 등)","Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Email for detailed information,Remarks,available departments (14).xlsx,Ewha Womans University,,
1,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,국어국문학과,Korean Language & Literature,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://kukewha.ewha.ac.kr/kukewha/index.do,e600003@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
2,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,중어중문학과,Chinese Language & Literature,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://zhongwen.ewha.ac.kr/zhongwen/index.do,e600007@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
3,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,불어불문학과,French Language & Literature,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://france.ewha.ac.kr/france/index.do,e600008@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
4,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,독어독문학과,German Language & Literature,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://cmsfox.ewha.ac.kr/german/index.do,e600009@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
5,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,사학과,History,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://history.ewha.ac.kr/,e600006@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
6,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,철학과,Philosophy,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://philos.ewha.ac.kr/philos/index.do,e600005@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
7,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,기독교학과,Christian Studies,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://christa.ewha.ac.kr/christa/index.do,e600004@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
8,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,영어영문학부,Division of English Language & Literature,인문,Humanities,Bachelor's degree,4,Korean / English,TOPIK 3 or above,March or September,http://english.ewha.ac.kr/,e600010@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
9,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,정치외교학과,Political Science & International Relations,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://politics.ewha.ac.kr/politics/index.do,e600039@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
10,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,행정학과,Public Administration,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://pubweb.ewha.ac.kr/pubweb/index.do,pubweb@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
11,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,경제학과,Economics,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://econ.ewha.ac.kr/econ/index.do,e600041@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
12,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,문헌정보학과,Library & Information Science,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://elis1959.ewha.ac.kr/elis1959/index.do,elis@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
13,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,사회학과,Sociology,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sociology.ewha.ac.kr/socio30/index.do,socio30@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
14,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,사회복지학과,Social Welfare,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sw.ewha.ac.kr/sw/index.do,e600045@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
15,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,심리학과,Psychology,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://psych.ewha.ac.kr/psych/index.do,psychology@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
16,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,소비자학과,Consumer Studies,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://consume.ewha.ac.kr/consume/index.do,consume@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
17,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,커뮤니케이션·미디어학부,Division of Communication & Media,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://masscomm.ewha.ac.kr/,masscomm@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
18,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,수학과,Mathematics,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://math.ewha.ac.kr/,e600186@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
19,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,통계학과,Statistics,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://stat.ewha.ac.kr/,e600190@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
20,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,물리학과,Physics,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://physics.ewha.ac.kr/,e600187@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
21,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,화학·나노과학과,Chemistry & Nano Science,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://myr.ewha.ac.kr/chem/index.do,e600189@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
22,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,생명과학과,Life Sciences,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://biology.ewha.ac.kr/,e600250@ewha.ac.kr  ,,available departments (14).xlsx,Ewha Womans University,,
23,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,전자전기공학전공,Electronic and Electrical Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://ee.ewha.ac.kr/ewhaeleca/index.do,e600177@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
24,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,지능형반도체공학전공,Semiconductor Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://ee.ewha.ac.kr/ewhaeleca/index.do,e600255@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
25,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,식품생명공학전공,Food Science and Biotechnology,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://foodbiotech.ewha.ac.kr/foodbiotech/index.do,e600061@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
26,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,화공신소재공학전공,Chemical Engineering and Materials Science,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://chems.ewha.ac.kr/,e600172@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
27,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,건축학전공,Architecture,공학,Engineering,Bachelor's degree,5,Korean 100%,TOPIK 3 or above,March or September,http://ea.ewha.ac.kr/,ewharchi@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
28,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,건축도시시스템공학전공,Architectural and Urban Systems Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://ewharchi.ewha.ac.kr/ewharchi/index.do,e600182@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
29,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,환경공학전공,Environmental Science and Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://environewha.ewha.ac.kr/environewha/index.do,e600185@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
30,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,기후·에너지시스템공학전공,Climate and Energy Systems Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://cese.ewha.ac.kr/,e600171@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
31,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,휴먼기계바이오공학부,Division of Mechanical and Biomedical Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://mbe.ewha.ac.kr/,mbe@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
32,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,건반악기과,Keyboard Instruments,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://music.ewha.ac.kr/,e600141@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
33,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,관현악과,Orchestral Instruments,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://music.ewha.ac.kr/,e600142@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
34,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,성악과,Voice,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://music.ewha.ac.kr/,e600143@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
35,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,작곡과,Composition,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://music.ewha.ac.kr/,e600144@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
36,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,한국음악과,Korean Music,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://music.ewha.ac.kr/,e600145@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
37,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,무용과,Dance,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://cms.ewha.ac.kr/user/dance/,e600053@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
38,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,동양화전공,Korean Painting,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600013@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
39,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,서양화전공,Painting,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600014@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
40,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,조소전공,Sculpture,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600015@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
41,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,도자예술전공,Ceramic Arts,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600021@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
42,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,공간디자인전공,Space Design,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600016@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
43,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,시각디자인전공,Visual Communication Design,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600017@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
44,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,산업디자인전공,Industrial Design,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600018@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
45,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,영상디자인전공,Media Interaction Design,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600064@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
46,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,섬유예술전공,Fiber Arts,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600020@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
47,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,패션디자인전공,Fashion Design,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://artndesign.ewha.ac.kr/artewha/index.do,e600019@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
48,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,경영학부,Division of Business Administration,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://biz.ewha.ac.kr/,biz@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
49,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,융합콘텐츠학과,Department of Content Convergence,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://cc.ewha.ac.kr/,e600163@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
50,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,의류산업학과,Department of Fashion Industry,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://cmsfox.ewha.ac.kr/fashion/index.do,e600023@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
51,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,국제사무학과,Department of International Office Administration,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://ioa.ewha.ac.kr/,e600157@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
52,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,식품영양학과,Department of Nutritional Science & Food Management,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://nsfm.ewha.ac.kr/,e600024@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
53,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,융합보건학과,Department of Health Convergence,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://publichealth.ewha.ac.kr/,e600032@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
54,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,스포츠과학전공 ,Sports Science,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://hms.ewha.ac.kr/,e600054@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
55,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,글로벌스포츠산업전공,Global Sports Management,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://hms.ewha.ac.kr/,e600054@ewha.ac.kr,Must Submit portfolio(please refer to the '2027 GKS-U Overview of Ewha Womans-U'),available departments (14).xlsx,Ewha Womans University,,
56,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,국제학전공,International Studies,사회,Social Sciences,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,http://scrantoncollege.ewha.ac.kr/dis/,e600138@ewha.ac.kr,"Must Submit English Proficiency Test Scores(TOEFL iBT 80), IELTS 6.0, New TEPS 326 or above)",available departments (14).xlsx,Ewha Womans University,,
57,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,글로벌한국학전공,Global Korean Studies,사회,Social Sciences,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,http://scrantoncollege.ewha.ac.kr/ks/,e600139@ewha.ac.kr,"Must Submit English Proficiency Test Scores(TOEFL iBT 80), IELTS 6.0, New TEPS 326 or above)",available departments (14).xlsx,Ewha Womans University,,
58,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,컴퓨터공학과,Computer Sciences and Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://cmsfox.ewha.ac.kr/cse/index.do,cse@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
59,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,사이버보안학과,Cyber Security,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://cmsfox.ewha.ac.kr/security/index.do,e600170@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
60,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,인공지능전공,Artificial Intelligence,인공지능(AI),Artificial Intelligence(AI),Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://cmsfox.ewha.ac.kr/deptai/index.do,dept_ai@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
61,이화여자대학교,Ewha Womans University,Seoul / Sinchon,Embassy Track,A,데이터사이언스전공,Data Science,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://cmsfox.ewha.ac.kr/datascience/index.do,dept_ds@ewha.ac.kr,,available departments (14).xlsx,Ewha Womans University,,
No.,대학명,"University
(대학알리미 공시 명칭)","Application
Track",Embassy Track Type,Campus Location,학과명,"Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,Remarks,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
1,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,ELLT학과,Department of English Linguistics & Language Technology,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
2,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,영미문학·문화학과,Department of English Literature and Culture,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
3,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,영어통번역학과,"Department of English for 
International Conferences and Communication",인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
4,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,프랑스어학부,Division of French Language,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
5,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,독일어과,Department of German,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
6,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,노어과,Department of Russian,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
7,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,스페인어과,Department of Spanish,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
8,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,이탈리아어과,Department of Italian,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
9,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,포르투갈어과,Department of Portuguese,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
10,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,네덜란드어과,Department of Dutch,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
11,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,스칸디나비아어과,Department of Scandinavian Languages,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
12,한국외국어대학교,"Hankuk University of 
Foreign Studies",Embassy Track,A,Seoul,말레이·인도네시아학과,Department of Malay-Indonesian Studies,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,"http://international.hufs.ac.kr/, https://issc.hufs.ac.kr/",+82-2-2173-2065,,available departments (15).xlsx,Hankuk Univ. of Foreign Studies,,
